"","Sample ID","Date Sampled","OS Conference","Vegetation","Altitude (m)","Pteridium aquilinium","Calunna vulgaris","Vaccinium vitis-idaea","Vaccinium mytrilus","Grass","Empetrum nigrum","Cladonia arbuscula","Moss","Galium saxatile","Erica cinaerea","Oxalis stricta","Fern","Tormentil","Thistle","Unknown3","LatitudeN","LongitudeE","Site","Veg. richness","Veg. shannon","Veg. simpson","Veg. evenness","Soil Moisture (% fresh soil mass)","pH","NPOC (mg C g-1)","TNb (mg N g-1)","Drift Corr C (g per kg)","Drift Corr N (g per kg)","CN ratio","alpha","SUVA (L mg-1 cm-1)"
"1","BHM-B-1","15/08/2024","SE2075865137","Bracken",290,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,54.081737,-1.6842036,"Brimham Moor",2,0.693147180559945,0.5,1,29.66299633,3.7,0.471030998805402,0.0489481463483772,68.51454482,3.459881357,19.80257059,0.00899985773456745,0.0315834721401322
"2","BHM-B-10","16/08/2024","SE2140564575","Bracken",242,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54.07666,-1.6743538,"Brimham Moor",2,0.0555460752688918,0.0196059209881385,0.0801360473312753,47.16272908,3.58,1.01351089460615,0.0605978493092643,151.1704644,6.630393636,22.79962136,0.00924929572494505,0.0102374976318677
"3","BHM-B-2","15/08/2024","SE2074165210","Bracken",292,80,0,0,5,15,0,0,0,0,0,0,0,0,0,0,54.082394,-1.6844585,"Brimham Moor",3,0.612869452461949,0.335,0.557857816432178,47.03592534,3.42,2.18336852994,0.123973711218126,349.7979506,16.79043328,20.83316998,0.0117388504614931,0.00425303365710025
"4","BHM-B-3","15/08/2024","SE2087365098","Bracken",290,95,0,0,5,0,0,0,0,0,0,0,0,0,0,0,54.081382,-1.6824485,"Brimham Moor",2,0.198515243345873,0.0950000000000001,0.286396957115956,18.58066391,3.62,0.851788972056885,0.0449456717133384,73.69843218,3.333704651,22.10706703,0.00635288456521294,0.0226693606965402
"5","BHM-B-4","15/08/2024","SE2097365078","Bracken",286,90,0,0,0,10,0,0,0,0,0,0,0,0,0,0,54.081198,-1.6809214,"Brimham Moor",2,0.325082973391448,0.18,0.468995593589281,11.78499058,3.79,0.667447089848096,0.0421310436446935,86.18572177,3.379429357,25.50303991,0.00809522280495592,0.00681861228440719
"6","BHM-B-5","15/08/2024","SE2093665022","Bracken",283,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.080697,-1.6814908,"Brimham Moor",1,0,0,NA,60.06018917,3.19,1.84790916147523,0.103536811098063,417.2342584,15.62580535,26.70161627,0.0113750400120309,0.0032473652181874
"7","BHM-B-6","16/08/2024","SE2096564461","Bracken",259,66,0,0,14,20,0,0,0,0,0,0,0,0,0,0,54.075653,-1.6810862,"Brimham Moor",3,0.871383575393716,0.5048,0.793167511761705,20.9760844,3.75,0.886323367683598,0.0516475907295019,137.029667,5.561522277,24.63887766,0.00892084832991016,0.0105468144139797
"8","BHM-B-7","16/08/2024","SE2105964478","Bracken",257,84,15,0,1,0,0,0,10,0,0,0,0,0,0,0,54.075802,-1.6796484,"Brimham Moor",4,0.738342047162308,0.389917355371901,0.532601204960433,18.33817929,4.4,0.983916135160605,0.0415363382373581,114.4859724,4.612844657,24.81895249,0.0103696375484577,0.00987837558033603
"9","BHM-B-8","16/08/2024","SE2111664494","Bracken",251,50,0,0,50,0,0,0,15,0,0,0,0,0,0,0,54.075944,-1.6787762,"Brimham Moor",3,0.989949053934139,0.604914933837429,0.90109046125298,51.92493516,3.73,0.468789194870307,0.0245610172674326,108.8858511,4.652857066,23.40193338,0.00764355158217543,0.0103852763184528
"10","BHM-B-9","16/08/2024","SE2131764512","Bracken",236,82,0,0,18,1,0,0,5,0,0,0,0,0,0,0,54.076097,-1.6757031,"Brimham Moor",4,0.687732872602914,0.370416518333927,0.496094402380273,51.54725984,3.65,1.45501405637941,0.0486399792149652,107.6567404,5.146114075,20.9200066,0.00825016052960089,0.0119260058825263
"11","BHM-H-1","15/08/2024","SE2078065239","Heather",290,0,82,0,7,0,0,0,11,0,0,0,0,0,0,0,54.082653,-1.6838604,"Brimham Moor",3,0.591678212789711,0.3106,0.538568718821656,54.98632443,3.73,0.650415794953579,0.0332094075279849,99.86229217,3.668606921,27.22076644,0.00854982995342896,0.0167419342200393
"12","BHM-H-10","16/08/2024","SE2155564571","Heather",238,0,100,0,5,0,0,0,17,0,0,0,0,0,0,0,54.076618,-1.6720616,"Brimham Moor",3,0.568538790553459,0.307041117979038,0.517506309020738,42.48570468,3.67,0.569430637160421,0.0355200957617318,63.29432568,2.333077653,27.12911231,0.00839701474836485,0.0166834916815073
"13","BHM-H-2","15/08/2024","SE2082765240","Heather",292,0,95,0,0,0,0,0,5,0,0,0,0,0,0,0,54.08266,-1.6831419,"Brimham Moor",2,0.198515243345873,0.0950000000000001,0.286396957115956,46.1894699,3.52,2.93128785016705,0.101588807850464,341.8480411,11.40535537,29.97259007,0.0102447694110913,0.00430455015536085
"14","BHM-H-3","15/08/2024","SE2086365190","Heather",292,0,100,0,0,0,0,0,9,0,0,0,0,0,0,0,54.082209,-1.6825951,"Brimham Moor",2,0.284998893285702,0.151502398787981,0.411166490002126,60.8440067,3.76,0.944127512182078,0.0418895095475794,96.13765385,3.27270465,29.37559729,0.00822576062509395,0.0101965172407505
"15","BHM-H-4","15/08/2024","SE2093165061","Heather",286,0,93,0,0,2,0,0,5,0,0,0,0,0,0,0,54.081047,-1.6815645,"Brimham Moor",3,0.295517818122659,0.1322,0.26899191022242,13.845352,3.85,0.949541409048356,0.0164068435922745,58.37376725,2.726503555,21.40975285,0.00711650118323674,0.00543866542733467
"16","BHM-H-5","15/08/2024","SE2103665103","Heather",288,0,95,0,0,0,0,0,5,0,0,0,0,0,0,0,54.081421,-1.6799567,"Brimham Moor",2,0.198515243345873,0.0950000000000001,0.286396957115956,40.97701435,3.69,1.28131399389586,0.0467706268376219,119.4158217,3.81285878,31.31923541,0.00866255072623519,0.00691618371583189
"17","BHM-H-6","15/08/2024","SE2108065157","Heather",294,0,100,0,0,5,0,0,0,0,0,0,0,0,0,0,54.081904,-1.6792805,"Brimham Moor",2,0.191444081957717,0.090702947845805,0.276195427647939,33.44042939,3.9,0.398456572177948,0.0224419112932513,53.57779165,1.78147387,30.07498036,0.00730069104256385,0.0137851591179524
"18","BHM-H-7","15/08/2024","SE2120765261","Heather",293,0,100,0,3,0,0,0,15,0,0,0,0,0,0,0,54.082834,-1.677332,"Brimham Moor",3,0.495823535640693,0.265010054582017,0.451318031624969,18.31244387,3.83,0.569689639119273,0.0159475381763428,71.66517988,2.21427624,32.36505843,0.00746746092947923,0.00586673753523848
"19","BHM-H-8","15/08/2024","SE2112465141","Heather",294,0,100,0,2,0,0,0,9,0,0,0,0,0,0,0,54.081758,-1.678609,"Brimham Moor",3,0.370085749456884,0.181478776073371,0.336866566371247,14.32457269,3.85,1.18947645121613,0.0166531100811411,81.79568161,2.521271889,32.44222964,0.0075554202093335,0.00283120749540294
"20","BHM-H-9","16/08/2024","SE2149964607","Heather",248,0,100,0,1,0,0,0,10,0,0,0,0,0,0,0,54.076944,-1.6729149,"Brimham Moor",3,0.353288133485761,0.18018018018018,0.321576717400518,27.41691843,3.63,1.18873863954838,0.0693821649417464,156.9135268,5.558455617,28.22969861,0.00925331286860736,0.00977985845938812
"21","BRI-B-1","08/08/2024","SE8735791881","Bracken",223,100,0,0,3,0,0,0,0,0,0,0,0,0,0,0,54.315055,-0.65865718,"Bridestones",2,0.131691556532418,0.0565557545480253,0.189990755536268,62.35822163,3.61,1.66558669948042,0.0577342915513706,420.2242821,13.08471587,32.1156597,0.0105958712452742,0.00354976897582096
"22","BRI-B-10","09/08/2024","SE8757691147","Bracken",214,100,0,0,13,0,0,0,0,0,0,0,0,0,0,0,54.308423,-0.65550673,"Bridestones",2,0.356933303262702,0.203618137677187,0.514945906545217,43.14247156,3.43,3.02259331402692,0.115228008101476,470.4706761,18.46374961,25.48077644,0.0105148667629216,0.00276686409163254
"23","BRI-B-2","08/08/2024","SE8732591889","Bracken",216,100,0,0,14,0,0,0,0,0,0,0,0,0,0,0,54.315132,-0.6591466,"Bridestones",2,0.372480718452191,0.215450907971684,0.537376085337734,71.46194927,3.67,0.872829242379256,0.0281901557155582,117.3510537,4.304222275,27.26417137,0.0062450066578986,0.0220431489390493
"24","BRI-B-3","08/08/2024","SE8735691888","Bracken",222,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.315118,-0.6586705,"Bridestones",1,0,0,NA,48.20923405,3.54,0.974811145388388,0.0291521647435137,137.7837031,4.996653715,27.57519551,0.0108553263512686,0.00634962495625758
"25","BRI-B-4","08/08/2024","SE8747691350","Bracken",209,100,0,0,5,0,0,0,0,0,0,0,0,0,0,0,54.310264,-0.65698383,"Bridestones",2,0.191444081957717,0.090702947845805,0.276195427647939,59.9806462,3.5,1.32837252956868,0.0525877906851303,314.2758674,11.40700308,27.55113374,0.0106610324491812,0.00452938563460872
"26","BRI-B-5","08/08/2024","SE8746991270","Bracken",216,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.309546,-0.65711478,"Bridestones",1,0,0,NA,56.57451857,3.36,1.11004865455268,0.027961473537881,259.9674722,9.585417859,27.1211413,0.00927383030451078,0.0053491721306343
"27","BRI-B-6","08/08/2024","SE8738690886","Bracken",203,100,0,0,0,5,0,0,0,0,0,0,0,0,0,0,54.30611,-0.65850229,"Bridestones",2,0.191444081957717,0.090702947845805,0.276195427647939,42.07809559,3.41,0.492383548067394,0.00977700693756194,120.3853079,3.58346286,33.59468553,0.00809339895591465,0.00631019594818997
"28","BRI-B-7","09/08/2024","SE8758790880","Bracken",205,100,0,0,11,0,0,0,0,0,0,0,0,0,0,0,54.306022,-0.6554159,"Bridestones",2,0.323098970685386,0.178556935313692,0.466133282724135,41.57762414,3.32,1.2997319024337,0.0428823611083563,258.4895152,9.296925444,27.80376338,0.0101095111293469,0.00332679250700099
"29","BRI-B-8","09/08/2024","SE8754990914","Bracken",205,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.306334,-0.65598978,"Bridestones",1,0,0,NA,76.1125105,3.56,0.854062602261554,0.0302310717797443,84.39867356,3.437337569,24.55350162,0.00965302911745827,0.010511389259216
"30","BRI-B-9","09/08/2024","SE8763491008","Bracken",211,100,0,0,0,7,0,0,0,0,0,0,0,0,0,0,54.307164,-0.6546563,"Bridestones",2,0.24162893126381,0.12228142195825,0.348596860869598,61.36088099,3.2,2.76679817576786,0.121581677205855,476.013288,19.98494525,23.81859355,0.0101681133552626,0.00499078248950434
"31","BRI-H-1","08/08/2024","SE8746591982","Heather",219,0,100,13,13,0,0,0,0,0,0,0,0,0,0,0,54.315944,-0.65696797,"Bridestones",3,0.652109669706961,0.348828420256992,0.593575801429947,69.53383459,3.62,1.67244072058621,0.0486464451996935,117.1471187,4.845397823,24.1769867,0.00972161187823829,0.00978183943217758
"32","BRI-H-10","09/08/2024","SE8760191126","Heather",213,0,100,0,3,0,2,0,0,0,0,0,0,0,0,0,54.30823,-0.65512876,"Bridestones",3,0.223492256577206,0.0917913832199547,0.203431418783922,60.93725511,3.41,0.497976844468073,0.0101781295754819,96.87686214,2.609020594,37.13150535,0.0073506982590325,0.0073940076905588
"33","BRI-H-2","08/08/2024","SE8745891955","Heather",227,0,100,0,10,0,0,0,0,0,0,0,0,0,0,0,54.315703,-0.65708344,"Bridestones",2,0.304636097349238,0.165289256198347,0.439496986921513,76.10763652,3.59,0.95148031718262,0.0144984119469814,130.7022213,3.890757536,33.59300087,0.00776060758966618,0.00607709075400544
"34","BRI-H-3","08/08/2024","SE8732191761","Heather",222,0,100,0,1,0,0,0,0,0,0,0,0,0,0,0,54.313983,-0.65924545,"Bridestones",2,0.0555460752688918,0.0196059209881385,0.0801360473312753,83.36646033,3.39,4.63759796887074,0.114315413759797,453.9644848,13.93800848,32.5702546,0.00881794089588991,0.00598043416166809
"35","BRI-H-4","08/08/2024","SE8739491764","Heather",224,0,100,0,1,0,0,0,0,0,0,0,0,0,0,0,54.313997,-0.65812279,"Bridestones",2,0.0555460752688918,0.0196059209881385,0.0801360473312753,17.81020934,3.72,0.504854692813988,0.00821396657564118,32.22865981,0.966343129,33.35115534,0.00717842456932989,0.00641948564649917
"36","BRI-H-5","08/08/2024","SE8762591582","Heather",222,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,54.312323,-0.65462639,"Bridestones",1,0,0,NA,55.54595218,3.8,0.275291161213491,0.00249110200734715,47.55003172,1.032556733,46.05076913,0.00601787835452589,0.0138759050499496
"37","BRI-H-6","09/08/2024","SE8763390838","Heather",202,0,100,0,17,0,0,0,0,0,0,0,0,0,0,0,54.305637,-0.65472147,"Bridestones",2,0.414467563449339,0.248374607348966,0.597950298397693,28.17572978,3.66,0.663648426015331,0.0118167904851518,47.52143912,1.586637754,29.95103262,0.00825487110245814,0.0280151829256306
"38","BRI-H-7","09/08/2024","SE8754090982","Heather",207,0,100,0,7,0,4,0,0,0,0,0,0,0,0,0,54.306946,-0.65610815,"Bridestones",3,0.388056623954894,0.183102020939859,0.353224361276124,58.76196932,3.41,1.02253113337427,0.0253291602303791,166.2612294,4.811788002,34.55289995,0.00893732448272508,0.00709035521079917
"39","BRI-H-8","09/08/2024","SE8756991009","Heather",214,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,54.307184,-0.65565468,"Bridestones",2,0.0555460752688918,0.0196059209881385,0.0801360473312753,72.99653455,3.48,3.5560833455455,0.0877634039112638,447.9124575,15.8127916,28.32595716,0.00927964954592491,0.00346021580798292
"40","BRI-H-9","09/08/2024","SE8762991075","Heather",214,0,100,0,0,0,0,7,0,0,0,0,0,0,0,0,54.307767,-0.65471349,"Bridestones",2,0.24162893126381,0.12228142195825,0.348596860869598,76.75499308,3.51,3.70555188185638,0.127933815743406,437.6146398,13.92683025,31.422415,0.00929320305038056,0.0029972206156465
"41","HAW-B-1","12/09/2024","NY5004114814","Bracken",411,95,0,0,0,5,0,0,3,0,0,0,0,0,0,0,54.526133,-2.7734196,"Haweswater",3,0.324424802499284,0.146102365915732,0.295304181325513,52.02099107,3.83,1.53965052390776,0.090458342694908,150.0911986,10.12984229,14.81673597,0.0112796966552046,0.00355533150481396
"42","HAW-B-10","13/09/2024","NY5046415155","Bracken",389,82,0,0,0,35,0,0,3,1,0,0,0,0,0,0,54.529239,-2.766942,"Haweswater",4,0.753774039036389,0.45638959087494,0.543733034034321,45.51809963,3.87,1.80857202447164,0.0929852614015573,137.2569955,9.880319508,13.8919592,0.0116827421685492,0.00430529127986315
"43","HAW-B-2","12/09/2024","NY4979114902","Bracken",414,90,0,0,0,0,0,0,40,0,0,0,0,0,0,0,54.526899,-2.7772969,"Haweswater",2,0.617241769730342,0.42603550295858,0.890491640219491,51.87722353,3.54,1.56508450732133,0.103144174295112,224.6121268,13.06716884,17.18904298,0.0111222088405979,0.00563691435118515
"44","HAW-B-3","12/09/2024","NY4981614934","Bracken",415,97,0,0,0,3,0,0,0,0,0,0,0,0,0,0,54.527189,-2.7769161,"Haweswater",2,0.134742168179767,0.0582,0.194391857831576,39.42184065,3.7,2.44142711278668,0.126515211033223,160.3449896,10.22413464,15.68298885,0.0117121247655929,0.00345231105785084
"45","HAW-B-4","12/09/2024","NY4992015017","Bracken",417,92,0,0,6,10,0,0,8,0,0,0,0,0,0,0,54.527946,-2.7753235,"Haweswater",4,0.732758387940337,0.356123662306778,0.528573446225658,63.72614235,3.5,4.06348568707969,0.270183234491857,344.0272043,18.81180654,18.28783448,0.0135810190528984,0.00252884926374116
"46","HAW-B-5","13/09/2024","NY5013514836","Bracken",421,95,0,0,0,1,0,0,9,0,0,0,0,0,0,0,54.52634,-2.7719711,"Haweswater",3,0.345452484461549,0.173968253968254,0.3144444022926,73.88853299,3.47,3.39063930657009,0.375875774055385,373.1257864,21.86377451,17.06593645,0.0195884602653782,0.00160225876479051
"47","HAW-B-6","13/09/2024","NY5021014855","Bracken",412,85,0,0,5,30,0,0,2,4,0,0,0,0,0,0,54.526518,-2.7708156,"Haweswater",5,0.910568100449006,0.485386747291509,0.565767771104553,75.65717141,3.63,2.90760890894819,0.189635661940738,232.0190541,12.54485814,18.49515168,0.0123126088476517,0.00407972504880316
"48","HAW-B-7","13/09/2024","NY5027214990","Bracken",423,90,0,0,0,12,0,0,15,2,0,0,0,0,0,0,54.527738,-2.7698806,"Haweswater",4,0.772326875423858,0.40166654897253,0.557116076559634,69.23484787,3.52,2.44209217338341,0.229634893259568,232.1604996,13.85103658,16.76123648,0.0124847077249972,0.0039801222510657
"49","HAW-B-8","13/09/2024","NY5027715080","Bracken",410,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.528547,-2.7698185,"Haweswater",1,0,0,NA,60.00079974,3.87,1.56873343948728,0.0838053126490461,142.0764502,10.70934968,13.26658055,0.0113665369316836,0.00359139585125251
"50","HAW-B-9","13/09/2024","NY5035415144","Bracken",388,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.52913,-2.7686397,"Haweswater",1,0,0,NA,77.43243839,3.6,2.74680089396966,0.137332463113862,379.8599791,23.52293199,16.14849625,0.0111205577342551,0.00354980162873251
"51","HAW-H-1","12/09/2024","NY5001814792","Heather",413,0,100,0,1,3,0,0,0,0,0,0,0,0,0,0,54.525933,-2.7737712,"Haweswater",3,0.184651904287397,0.0745192307692307,0.168077406553733,85.6520145,3.82,4.13190026347921,0.206124285071654,451.9159788,17.43079275,25.92630096,0.0109006199430677,0.0041915189784825
"52","HAW-H-10","13/09/2024","NY5054815124","Heather",389,0,100,0,2,0,0,0,1,0,0,0,0,0,0,0,54.528969,-2.7656389,"Haweswater",3,0.150230804152655,0.0569327929116787,0.13674597098744,73.39533043,3.68,4.30246635424177,0.200617840262757,434.857876,19.44004207,22.3691839,0.0127207861382141,0.00245425759580507
"53","HAW-H-2","12/09/2024","NY4991314801","Heather",408,0,92,0,0,1,0,0,10,0,0,0,0,0,0,0,54.526004,-2.7753949,"Haweswater",3,0.372297920089323,0.192666603826939,0.338880170856886,86.37885463,3.9,4.83400917670912,0.14300264621052,452.0525095,14.18946263,31.85832482,0.0112578360959355,0.00620283873345882
"54","HAW-H-3","12/09/2024","NY4982214789","Heather",409,0,100,0,1,0,0,0,9,0,0,0,0,0,0,0,54.525887,-2.7767987,"Haweswater",3,0.334189094930279,0.166776859504132,0.30419202331646,75.70712136,3.57,3.10635762624338,0.0882583961876304,343.989193,10.58035485,32.51206579,0.0114055026034093,0.00263080734567513
"55","HAW-H-4","12/09/2024","NY4974414780","Heather",411,0,100,0,2,4,0,0,0,0,0,0,0,0,0,0,54.525798,-2.7780022,"Haweswater",3,0.253547675202552,0.108223567105732,0.230789039789404,76.71310317,3.83,2.97496681823639,0.102423781589531,233.2931509,8.970252677,26.00742246,0.0121490910106358,0.00204802374664769
"56","HAW-H-5","12/09/2024","NY4975714894","Heather",423,0,90,0,8,2,0,0,0,0,0,0,0,0,0,0,54.526824,-2.7778208,"Haweswater",3,0.375123215745267,0.1832,0.341451865789744,75.37051563,3.72,3.19368050490671,0.139360040939746,357.8013698,14.64144284,24.43757584,0.012071892381693,0.00367024488339993
"57","HAW-H-6","12/09/2024","NY5007314980","Heather",423,0,96,0,10,0,0,0,12,0,0,0,0,0,0,0,54.527628,-2.7729534,"Haweswater",3,0.609479903208811,0.320597529445562,0.554772515741388,81.60319259,3.67,5.40401155583973,0.208837737993748,452.5828709,14.28770205,31.6763934,0.0114320386988079,0.00465905874083232
"58","HAW-H-7","13/09/2024","NY5024414947","Heather",421,0,100,0,4,1,0,0,6,0,0,0,0,0,0,0,54.527349,-2.7703059,"Haweswater",4,0.413919815198307,0.184075967859752,0.298580032356137,75.01183401,3.68,3.78795657035747,0.138438281024353,393.8703427,17.64707624,22.31929739,0.0117729946492448,0.0033972674756946
"59","HAW-H-8","13/09/2024","NY5024515062","Heather",423,0,10,0,0,1,0,0,4,0,0,0,0,0,0,0,54.528382,-2.7703099,"Haweswater",3,0.803314976140876,0.48,0.731208802620227,76.8834946,3.61,5.00165451707857,0.146738378869594,417.2126837,13.03053062,32.01808858,0.0134616675757275,0.00118098379109621
