"","Sample ID","Site","Vegetation","Mesostigmata","Oribatida","Astigmatina","Prostigmata","Symphypleona","Entomobryomorpha","Poduromorpha","Neelidae","Araneae","Enchytraeidae","Thysanoptera","Diptera","Stigmus","Chilopoda","Diplopoda","Staphylinidae","Tingidae","Lasius flavus","Coleoptera","Diplura","Parasitoid Wasp","Pseudoscorpiones","Oniscidea","Unknown","Total Mesofauna Catch","Total Invertebrate Catch","Percentage Mites","Percentage Collembola","Percentage Other","CoreVolume","1000s Individuals per m2 to 10 cm depth","Dry soil mass (g)","Individuals per 100g dry soil","Mesostigmata per 100 g dry soil mass","Oribatida per 100 g dry soil mass","Astigmatina per 100 g dry soil mass","Prostigmata per 100 g dry soil mass","Entomobryomorpha per 100 g dry soil mass","Poduromorpha per 100 g dry soil mass","Symphypleona per 100 g dry soil mass","Neelidae per 100 g dry soil mass"
"HAW-H-9","HAW-H-9","Haweswater","Heather",12,159,42,10,2,11,27,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,265,269,82.8996282527881,15.6133828996283,1.48698884758365,0.000196349540849362,134.963391741927,57,464.912280701754,21.0526315789474,278.947368421053,73.6842105263158,17.5438596491228,19.2982456140351,47.3684210526316,3.50877192982456,3.50877192982456
"SWM-B-1","SWM-B-1","Scarth Wood Moor","Bracken",3,24,11,40,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,93.9759036144578,6.02409638554217,0,0.000196349540849362,42.2715528852074,181.2,45.8057395143488,1.65562913907285,13.2450331125828,6.07064017660044,22.075055187638,2.2075055187638,0.551876379690949,0,0
"SWM-B-10","SWM-B-10","Scarth Wood Moor","Bracken",2,6,8,4,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,27,74.0740740740741,3.7037037037037,22.2222222222222,0.000196349540849362,10.6952121757754,114.8,18.2926829268293,1.74216027874564,5.22648083623693,6.96864111498258,3.48432055749129,0.871080139372822,0,0,0
"SWM-B-2","SWM-B-2","Scarth Wood Moor","Bracken",18,100,14,14,0,8,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,156,160,91.25,6.25,2.5,0.000196349540849362,79.4501475914741,42.8,364.485981308411,42.0560747663551,233.644859813084,32.7102803738318,32.7102803738318,18.6915887850467,4.67289719626168,0,0
"SWM-B-3","SWM-B-3","Scarth Wood Moor","Bracken",22,81,22,16,0,1,14,3,0,0,0,0,0,1,2,0,0,0,0,7,0,0,0,2,159,171,82.4561403508772,10.5263157894737,7.01754385964912,0.000196349540849362,80.9780350451563,32.6,487.730061349693,67.4846625766871,248.466257668712,67.4846625766871,49.079754601227,3.06748466257669,42.9447852760736,0,9.20245398773006
"SWM-B-4","SWM-B-4","Scarth Wood Moor","Bracken",6,46,18,19,0,5,2,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,2,96,109,81.651376146789,6.42201834862385,11.9266055045872,0.000196349540849362,48.8923985178302,91.7,104.689203925845,6.54307524536532,50.1635768811341,19.629225736096,20.7197382769902,5.4525627044711,2.18102508178844,0,0
"SWM-B-5","SWM-B-5","Scarth Wood Moor","Bracken",4,43,247,8,0,6,3,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,3,311,319,94.6708463949843,2.82131661442006,2.50783699059561,0.000196349540849362,158.390999365054,133.5,232.958801498127,2.99625468164794,32.2097378277154,185.01872659176,5.99250936329588,4.49438202247191,2.24719101123596,0,0
"SWM-B-6","SWM-B-6","Scarth Wood Moor","Bracken",6,51,5,8,0,1,0,0,0,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,71,93,75.2688172043011,1.0752688172043,23.6559139784946,0.000196349540849362,36.1600030704786,107.3,66.1696178937558,5.59179869524697,47.5302889095993,4.65983224603914,7.45573159366263,0.931966449207829,0,0,0
"SWM-B-7","SWM-B-7","Scarth Wood Moor","Bracken",19,174,133,13,0,5,17,0,0,30,0,0,0,0,3,0,0,0,0,0,0,0,0,2,361,396,85.6060606060606,5.55555555555556,8.83838383838383,0.000196349540849362,183.855790259757,34.3,1052.47813411079,55.3935860058309,507.288629737609,387.755102040816,37.9008746355685,14.5772594752187,49.5626822157434,0,0
"SWM-B-8","SWM-B-8","Scarth Wood Moor","Bracken",11,91,12,112,0,5,3,0,0,9,0,0,0,0,1,0,0,0,0,2,0,0,0,0,234,246,91.869918699187,3.2520325203252,4.8780487804878,0.000196349540849362,119.175221387211,97.6,239.754098360656,11.2704918032787,93.2377049180328,12.2950819672131,114.754098360656,5.12295081967213,3.07377049180328,0,0
"SWM-B-9","SWM-B-9","Scarth Wood Moor","Bracken",11,43,341,10,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,407,414,97.8260869565217,0.483091787439614,1.69082125603865,0.000196349540849362,207.283397882884,71.5,569.230769230769,15.3846153846154,60.1398601398601,476.923076923077,13.986013986014,1.3986013986014,1.3986013986014,0,0
"SWM-H-1","SWM-H-1","Scarth Wood Moor","Heather",5,35,52,14,2,18,1,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,5,128,138,76.8115942028985,15.9420289855072,7.2463768115942,0.000196349540849362,65.1898646904403,22.6,566.371681415929,22.1238938053097,154.867256637168,230.088495575221,61.9469026548673,79.646017699115,4.42477876106195,8.84955752212389,4.42477876106195
"SWM-H-10","SWM-H-10","Scarth Wood Moor","Heather",2,43,49,6,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,106,107,93.4579439252336,5.60747663551402,0.934579439252332,0.000196349540849362,53.9853566967709,205.9,51.4813016027198,0.971345313258864,20.8839242350656,23.7979601748422,2.91403593977659,0.485672656629432,2.42836328314716,0,0
"SWM-H-2","SWM-H-2","Scarth Wood Moor","Heather",2,33,33,6,0,4,5,0,1,11,0,2,0,0,0,0,0,0,1,0,0,0,0,0,83,98,75.5102040816327,9.18367346938776,15.3061224489796,0.000196349540849362,42.2715528852074,190.1,43.6612309310889,1.05207785376118,17.3592845870594,17.3592845870594,3.15623356128354,2.10415570752236,2.63019463440295,0,0
"SWM-H-3","SWM-H-3","Scarth Wood Moor","Heather",9,31,20,6,3,25,9,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103,127,51.9685039370079,29.1338582677165,18.8976377952756,0.000196349540849362,52.4574692430887,212.9,48.3795209018318,4.22733677782997,14.5608266791921,9.39408172851104,2.81822451855331,11.7426021606388,4.22733677782997,1.40911225927666,0
"SWM-H-4","SWM-H-4","Scarth Wood Moor","Heather",13,309,118,29,0,1,9,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,5,479,487,96.3039014373717,2.05338809034908,1.64271047227926,0.000196349540849362,243.952696771257,120.5,397.510373443983,10.7883817427386,256.43153526971,97.9253112033195,24.0663900414938,0.829875518672199,7.46887966804979,0,0
"SWM-H-5","SWM-H-5","Scarth Wood Moor","Heather",9,141,22,7,0,17,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,201,207,86.4734299516908,10.6280193236715,2.89855072463769,0.000196349540849362,102.368459396707,142.9,140.657802659202,6.29811056682995,98.6703988803359,15.3953813855843,4.89853044086774,11.8964310706788,3.49895031490553,0,0
"SWM-H-6","SWM-H-6","Scarth Wood Moor","Heather",12,113,19,6,0,12,2,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,13,164,205,73.1707317073171,6.82926829268293,20,0.000196349540849362,83.5245141346267,85.6,191.588785046729,14.018691588785,132.009345794393,22.196261682243,7.00934579439252,14.018691588785,2.33644859813084,0,0
"SWM-H-7","SWM-H-7","Scarth Wood Moor","Heather",36,53,68,18,0,13,61,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,249,257,68.0933852140078,28.7937743190661,3.11284046692607,0.000196349540849362,126.814658655622,140.4,177.350427350427,25.6410256410256,37.7492877492877,48.4330484330484,12.8205128205128,9.25925925925926,43.4472934472934,0,0
"SWM-H-8","SWM-H-8","Scarth Wood Moor","Heather",14,35,11,8,0,21,16,1,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,2,106,142,47.887323943662,26.7605633802817,25.3521126760563,0.000196349540849362,53.9853566967709,91.6,115.720524017467,15.2838427947598,38.2096069868996,12.0087336244541,8.73362445414847,22.9257641921397,17.4672489082969,0,1.09170305676856
"SWM-H-9","SWM-H-9","Scarth Wood Moor","Heather",14,64,27,12,0,20,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,142,151,77.4834437086093,16.5562913907285,5.96026490066225,0.000196349540849362,72.3200061409572,109.7,129.443938012762,12.7620783956244,58.3409298085688,24.61257976299,10.9389243391067,18.2315405651778,4.55788514129444,0,0
"WDY-B-1","WDY-B-1","Widdybanks","Bracken",18,21,44,22,1,22,26,5,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,159,167,62.874251497006,32.3353293413174,4.79041916167665,0.000196349540849362,80.9780350451563,113.53,140.051087818198,15.854840130362,18.4973134854224,38.7562758742183,19.3781379371091,19.3781379371091,22.9014357438563,0.880824451686779,4.40412225843389
"WDY-B-10","WDY-B-10","Widdybanks","Bracken",24,135,47,21,0,56,30,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,320,325,69.8461538461538,28.6153846153846,1.53846153846155,0.000196349540849362,162.974661726101,66.98,477.754553598089,35.8315915198567,201.552702299194,70.1702000597193,31.3526425798746,83.6070468796656,44.7894893998208,0,10.4508808599582
"WDY-B-2","WDY-B-2","Widdybanks","Bracken",9,179,67,17,0,19,22,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,314,317,85.8044164037855,13.2492113564669,0.946372239747632,0.000196349540849362,159.918886818736,107.54,291.984377905895,8.36897898456388,166.449693137437,62.3023991073089,15.8080714152873,17.6678445229682,20.4575041844895,0,0.929886553840431
"WDY-B-3","WDY-B-3","Widdybanks","Bracken",18,89,33,24,0,36,18,3,2,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,221,237,69.1983122362869,24.0506329113924,6.75105485232068,0.000196349540849362,112.554375754588,122.37,180.599820217374,14.7094876195146,72.7302443409332,26.9673939691101,19.6126501593528,29.4189752390292,14.7094876195146,0,2.4515812699191
"WDY-B-4","WDY-B-4","Widdybanks","Bracken",14,83,73,40,0,89,17,8,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,324,330,63.6363636363636,34.5454545454545,1.81818181818182,0.000196349540849362,165.011844997677,120.69,268.456375838926,11.5999668572376,68.7712320821941,60.4855414698815,33.1427624492501,73.7426464495816,14.0856740409313,0,6.62855248985003
"WDY-B-5","WDY-B-5","Widdybanks","Bracken",13,104,59,28,0,13,18,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,237,239,85.3556485355649,13.8075313807531,0.836820083682014,0.000196349540849362,120.703108840893,71.05,333.56790992259,18.2969739619986,146.375791695989,83.0401125967629,39.4088669950739,18.2969739619986,25.3342716396904,0,2.81491907107671
"WDY-B-6","WDY-B-6","Widdybanks","Bracken",11,72,30,12,0,29,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,161,169,73.9644970414201,21.301775147929,4.73372781065089,0.000196349540849362,81.9966266809445,100.71,159.864958792573,10.9224506007348,71.4924039320822,29.7885016383676,11.915400655347,28.7955515837553,6.95065038228577,0,0
"WDY-B-7","WDY-B-7","Widdybanks","Bracken",12,102,173,70,0,30,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,391,396,90.1515151515152,8.58585858585858,1.26262626262626,0.000196349540849362,199.134664796579,203.67,191.977218048804,5.89188392988658,50.0810134040359,84.9413266558649,34.3693229243384,14.7297098247165,0.981980654981097,0,0.981980654981097
"WDY-B-8","WDY-B-8","Widdybanks","Bracken",21,157,99,46,0,107,30,5,2,13,0,0,0,0,0,0,0,1,0,0,0,0,0,3,465,484,66.7355371900827,29.3388429752066,3.92561983471073,0.000196349540849362,236.82255532074,114.95,404.523705959113,18.2688125271857,136.581122227055,86.1244019138756,40.0173988690735,93.0839495432797,26.0983036102653,0,4.34971726837755
"WDY-B-9","WDY-B-9","Widdybanks","Bracken",33,317,151,90,0,60,42,17,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,710,717,82.4267782426778,16.5969316596932,0.976290097629004,0.000196349540849362,361.600030704786,65.29,1087.45596569153,50.5437279828458,485.526114259458,231.275846224537,137.846530862307,91.8976872415378,64.3283810690764,0,26.037678051769
"WDY-H-1","WDY-H-1","Widdybanks","Heather",28,355,62,153,2,7,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,615,97.2357723577236,2.4390243902439,0.325203252032523,0.000196349540849362,312.198336369062,218.76,280.215761565186,12.799414883891,162.278295849333,28.3415615286158,69.9396599012617,3.19985372097276,2.74273176083379,0.91424392027793,0
"WDY-H-10","WDY-H-10","Widdybanks","Heather",6,42,15,9,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,75,78,92.3076923076923,3.84615384615385,3.84615384615385,0.000196349540849362,38.1971863420549,115.98,64.6663217796172,5.17330574236937,36.2131401965856,12.9332643559234,7.75995861355406,2.58665287118469,0,0,0
"WDY-H-2","WDY-H-2","Widdybanks","Heather",17,184,28,78,1,87,12,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,408,412,74.5145631067961,24.5145631067961,0.970873786407765,0.000196349540849362,207.792693700779,152.5,267.540983606557,11.1475409836066,120.655737704918,18.3606557377049,51.1475409836066,57.0491803278689,7.86885245901639,0.655737704918033,0.655737704918033
"WDY-H-3","WDY-H-3","Widdybanks","Heather",13,185,57,37,0,22,9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,325,327,89.2966360856269,10.0917431192661,0.611620795107029,0.000196349540849362,165.521140815571,209.37,155.227587524478,6.20910350097913,88.3603190523953,27.2245307350623,17.6720638104791,10.5077136170416,4.29861011606247,0,0.955246692458327
"WDY-H-4","WDY-H-4","Widdybanks","Heather",12,49,21,34,1,10,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,144,145,80,19.3103448275862,0.689655172413794,0.000196349540849362,73.3385977767454,158.45,90.8804039129063,7.57336699274219,30.9245818870306,13.2533922372988,21.4578731461029,6.31113916061849,7.57336699274219,0.631113916061849,3.15556958030925
"WDY-H-5","WDY-H-5","Widdybanks","Heather",20,79,31,35,0,56,14,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,240,252,65.4761904761905,29.7619047619048,4.76190476190476,0.000196349540849362,122.230996294576,118.49,202.548738290151,16.8790615241793,66.6722930205081,26.1625453624778,29.5383576673137,47.2613722677019,11.8153430669255,0,4.21976538104481
"WDY-H-6","WDY-H-6","Widdybanks","Heather",22,228,109,34,0,34,12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,442,449,87.5278396436526,10.913140311804,1.55902004454343,0.000196349540849362,225.108751509177,139.65,316.505549588256,15.7536698890082,163.265306122449,78.0522735409953,24.3465807375582,24.3465807375582,8.59291084854995,0,2.14822771213749
"WDY-H-7","WDY-H-7","Widdybanks","Heather",9,172,60,67,0,29,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,361,362,85.0828729281768,14.6408839779006,0.276243093922645,0.000196349540849362,183.855790259757,26.39,1367.94240242516,34.1038272072755,651.762031072376,227.358848048503,253.884046987495,109.89010989011,75.7862826828344,0,15.1572565365669
"WDY-H-8","WDY-H-8","Widdybanks","Heather",9,178,58,24,0,35,11,7,0,25,0,0,0,0,1,0,0,0,0,0,0,1,0,2,322,351,76.6381766381766,15.0997150997151,8.26210826210827,0.000196349540849362,163.993253361889,39.6,813.131313131313,22.7272727272727,449.494949494949,146.464646464646,60.6060606060606,88.3838383838384,27.7777777777778,0,17.6767676767677
"WDY-H-9","WDY-H-9","Widdybanks","Heather",10,48,6,7,0,5,3,2,0,9,0,0,0,15,0,0,0,0,0,0,0,0,0,0,81,105,67.6190476190476,9.52380952380952,22.8571428571429,0.000196349540849362,41.2529612494193,75.11,107.841831979763,13.3138064172547,63.9062708028225,7.98828385035282,9.31966449207829,6.65690320862735,3.99414192517641,0,2.66276128345094
"WHI-B-1","WHI-B-1","Whiteside","Bracken",19,142,2,17,6,37,3,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,234,236,76.271186440678,22.8813559322034,0.847457627118644,0.000196349540849362,119.175221387211,149.8,156.208277703605,12.6835781041389,94.7930574098798,1.33511348464619,11.3484646194927,24.6995994659546,2.00267022696929,4.00534045393858,5.34045393858478
"WHI-B-10","WHI-B-10","Whiteside","Bracken",13,28,6,16,2,14,23,6,0,2,0,1,0,2,0,0,0,0,1,0,0,0,0,1,108,115,54.7826086956522,39.1304347826087,6.08695652173913,0.000196349540849362,55.003948332559,97.1,111.225540679712,13.3882595262616,28.8362512873326,6.17919670442842,16.4778578784758,14.4181256436663,23.686920700309,2.05973223480947,6.17919670442842
"WHI-B-2","WHI-B-2","Whiteside","Bracken",6,47,79,52,0,26,30,5,0,5,0,2,0,3,0,1,0,0,0,1,0,0,0,0,245,257,71.5953307392996,23.7354085603113,4.6692607003891,0.000196349540849362,124.777475384046,137,178.832116788321,4.37956204379562,34.3065693430657,57.6642335766423,37.956204379562,18.978102189781,21.8978102189781,0,3.64963503649635
"WHI-B-3","WHI-B-3","Whiteside","Bracken",32,174,72,30,2,35,42,13,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,400,416,74.0384615384615,22.1153846153846,3.84615384615384,0.000196349540849362,203.718327157626,140.9,283.88928317956,22.7111426543648,123.491838183109,51.1000709723208,21.291696238467,24.8403122782115,29.8083747338538,1.4194464158978,9.2264017033357
"WHI-B-4","WHI-B-4","Whiteside","Bracken",1,4,1,5,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,16,68.75,12.5,18.75,0.000196349540849362,6.62084563262284,127.7,10.1801096319499,0.783085356303837,3.13234142521535,0.783085356303837,3.91542678151919,0.783085356303837,0,0.783085356303837,0
"WHI-B-5","WHI-B-5","Whiteside","Bracken",13,90,19,7,1,10,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,142,147,87.7551020408163,8.84353741496599,3.40136054421768,0.000196349540849362,72.3200061409572,102.6,138.401559454191,12.6705653021443,87.719298245614,18.5185185185185,6.82261208576998,9.74658869395712,1.94931773879142,0.974658869395712,0
"WHI-B-6","WHI-B-6","Whiteside","Bracken",9,49,34,11,0,9,3,3,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,118,126,81.7460317460317,11.9047619047619,6.34920634920636,0.000196349540849362,60.0969065114997,82.4,143.203883495146,10.9223300970874,59.4660194174757,41.2621359223301,13.3495145631068,10.9223300970874,3.64077669902913,0,3.64077669902913
"WHI-B-7","WHI-B-7","Whiteside","Bracken",13,60,18,4,2,6,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,104,108,87.962962962963,8.33333333333333,3.70370370370371,0.000196349540849362,52.9667650609828,110.6,94.0325497287523,11.754068716094,54.249547920434,16.2748643761302,3.61663652802893,5.4249547920434,0,1.80831826401447,0.904159132007233
"WHI-B-8","WHI-B-8","Whiteside","Bracken",20,45,14,6,0,21,4,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,112,118,72.0338983050847,22.8813559322034,5.08474576271186,0.000196349540849362,57.0411316041353,135.2,82.8402366863905,14.792899408284,33.2840236686391,10.3550295857988,4.43786982248521,15.5325443786982,2.9585798816568,0,1.4792899408284
"WHI-B-9","WHI-B-9","Whiteside","Bracken",30,186,28,26,4,69,11,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,355,359,75.2089136490251,23.6768802228412,1.11420612813372,0.000196349540849362,180.800015352393,129.2,274.767801857585,23.2198142414861,143.962848297214,21.671826625387,20.1238390092879,53.405572755418,8.51393188854489,3.09597523219814,0.773993808049536
"WHI-H-1","WHI-H-1","Whiteside","Heather",12,47,15,6,1,141,23,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,247,250,32,66.8,1.2,0.000196349540849362,125.796067019834,100.1,246.753246753247,11.988011988012,46.953046953047,14.985014985015,5.99400599400599,140.859140859141,22.977022977023,0.999000999000999,1.998001998002
"WHI-H-10","WHI-H-10","Whiteside","Heather",12,29,20,5,3,10,16,3,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,98,105,62.8571428571429,30.4761904761905,6.66666666666666,0.000196349540849362,49.9109901536184,149.3,65.6396517079705,8.03750837240455,19.4239785666443,13.3958472873409,3.34896182183523,6.69792364367046,10.7166778298727,2.00937709310114,2.00937709310114
"WHI-H-2","WHI-H-2","Whiteside","Heather",13,52,32,14,1,55,34,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,204,209,53.11004784689,44.4976076555024,2.39234449760765,0.000196349540849362,103.896346850389,150.9,135.188866799205,8.61497680583168,34.4599072233267,21.2060967528164,9.27766732935719,36.4479787939032,22.5314777998675,0.662690523525513,1.98807157057654
"WHI-H-3","WHI-H-3","Whiteside","Heather",9,137,21,28,1,19,45,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,261,266,73.3082706766917,24.812030075188,1.87969924812029,0.000196349540849362,132.926208470351,122.9,212.367778681855,7.32302685109845,111.472742066721,17.0870626525631,22.7827502034174,15.459723352319,36.6151342554923,0.813669650122051,0.813669650122051
"WHI-H-4","WHI-H-4","Whiteside","Heather",9,81,33,37,4,143,56,4,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,367,372,43.010752688172,55.6451612903226,1.34408602150538,0.000196349540849362,186.911565167122,94.9,386.722866174921,9.48366701791359,85.3530031612223,34.7734457323498,38.9884088514225,150.684931506849,59.0094836670179,4.21496311907271,4.21496311907271
"WHI-H-5","WHI-H-5","Whiteside","Heather",6,98,48,12,3,19,7,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,195,201,81.592039800995,15.4228855721393,2.98507462686567,0.000196349540849362,99.3126844893427,81.2,240.147783251232,7.38916256157635,120.689655172414,59.1133004926108,14.7783251231527,23.3990147783251,8.62068965517241,3.69458128078818,2.46305418719212
"WHI-H-6","WHI-H-6","Whiteside","Heather",18,60,27,8,0,48,24,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,1,186,193,58.5492227979275,37.8238341968912,3.62694300518135,0.000196349540849362,94.7290221282961,110.1,168.937329700272,16.3487738419619,54.4959128065395,24.5231607629428,7.2661217075386,43.5967302452316,21.7983651226158,0,0.908265213442325
"WHI-H-7","WHI-H-7","Whiteside","Heather",5,11,10,1,5,91,25,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,148,153,17.6470588235294,79.0849673202614,3.26797385620915,0.000196349540849362,75.3757810483216,103.8,142.581888246628,4.81695568400771,10.597302504817,9.63391136801541,0.963391136801542,87.6685934489403,24.0847784200385,4.81695568400771,0
"WHI-H-8","WHI-H-8","Whiteside","Heather",11,103,34,7,1,20,20,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,200,206,75.2427184466019,21.8446601941748,2.91262135922329,0.000196349540849362,101.859163578813,116.4,171.821305841924,9.45017182130584,88.4879725085911,29.2096219931271,6.01374570446735,17.1821305841924,17.1821305841924,0.859106529209622,3.43642611683849
"WHI-H-9","WHI-H-9","Whiteside","Heather",23,113,20,17,0,31,20,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,226,231,74.8917748917749,22.9437229437229,2.16450216450217,0.000196349540849362,115.100854844059,125.7,179.793158313445,18.2975338106603,89.8965791567224,15.9108989657916,13.5242641209228,24.6618933969769,15.9108989657916,0,1.59108989657916
