Sample ID,Site,Vegetation,Mesostigmata,Oribatida,Astigmatina,Prostigmata,Symphypleona,Entomobryomorpha,Poduromorpha,Neelidae,Araneae,Enchytraeidae,Thysanoptera,Diptera,Stigmus,Chilopoda,Diplopoda,Staphylinidae,Tingidae,Lasius flavus,Coleoptera,Diplura,Parasitoid Wasp,Pseudoscorpiones,Oniscidea,Unknown
HAW B 1,Haweswater,Bracken,22,139,12,18,2,4,6,8,2,1,1,,,,,,,,,,,,,
HAW B 6,Haweswater,Bracken,2,17,2,5,1,,7,0,,,,,,,,,,,,,,,,
HAW B 9,Haweswater,Bracken,14,25,15,14,0,4,4,1,,,,,,,,,,,,,,,,
HAW B 2,Haweswater,Bracken,24,255,31,27,2,46,56,5,1,4,,,1,,,,,1,,,,,,
HAW B 7,Haweswater,Bracken,23,154,34,8,6,14,31,2,,1,,,,,,,,,,,,,,
HAW H 1,Haweswater,Heather,,10,6,2,,5,1,,,1,,1,,,,,,,,,,,,
HAW H 2,Haweswater,Heather,,6,14,,,,6,,,,,1,,,,,,,,,,,,
HAW H 3,Haweswater,Heather,,10,14,16,1,1,77,,,,,,,,,,,,,,,,,
HAW H 4,Haweswater,Heather,,2,3,10,1,,46,,,4,,,,,,,,,,,,,,
HAW H 5,Haweswater,Heather,2,8,14,,2,1,4,,1,2,,1,,,,,,,,,,,,
WHI B 1,Whiteside,Bracken,,15,1,7,4,7,1,3,,,,,1,,,,,,,,,,,
WHI B 2,Whiteside,Bracken,2,14,34,10,,19,29,5,,5,,2,,2,,1,,,,1,,,,
WHI B 3,Whiteside,Bracken,23,74,40,18,2,33,42,13,,10,,,,,,,,,,,,,,
WHI B 4,Whiteside,Bracken,,1,1,1,1,,,,,1,,1,,,,,,,,,,,,
WHI B 5,Whiteside,Bracken,9,43,6,5,1,10,2,,,3,,,,,,,,,,,,,,1
WHI H 1,Whiteside,Heather,12,41,13,5,1,141,23,2,,1,,2,,,,,,,,,,,,
WHI H 2,Whiteside,Heather,3,8,14,6,1,18,29,1,,,1,2,,,,,,,,,,,,
WHI H 3,Whiteside,Heather,,12,9,13,,6,30,,,2,,,,,,,,,,,,,,
WHI H 4,Whiteside,Heather,9,80,33,37,4,143,56,4,,2,,,,,,,,,,,,,,
WHI H 5,Whiteside,Heather,6,98,47,12,3,19,7,2,,1,,,,1,,,,,,,,,,3
BHM B 1,Brimham Moor,Bracken,14,335,175,36,,4,3,,,3,,,,,,,,,,,,,,
WDY B 1,Widdybanks,Bracken,18,21,44,21,1,22,26,5,,5,,,,1,,1,,,,,,,,1
WDY B 2,Widdybanks,Bracken,9,136,56,15,,19,22,1,,1,,,,,,1,,,,,,,,
WDY B 3,Widdybanks,Bracken,18,67,32,22,,36,18,3,2,4,,,,10,,,,,,,,,,
WDY B 6,Widdybanks,Bracken,10,39,11,10,,29,7,,,,,,,,,,,,,,,,,7
WDY B 7,Widdybanks,Bracken,12,102,173,69,,30,2,2,,2,,,,,,,,,,,,,,3
WDY H 1 ,Widdybanks,Heather,28,338,53,153,2,7,6,,,2,,,,,,,,,,,,,,
WDY H 2,Widdybanks,Heather,17,170,22,77,1,87,12,1,,1,,,,1,,1,,1,,,,,,
WDY H 4,Widdybanks,Heather,12,27,14,32,1,10,12,5,,,,,,,,,,,,,,,,1
WDY H 5,Widdybanks,Heather,,8,7,9,,11,11,1,,10,,,,,,,,,,,,,,
WDY H 7,Widdybanks,Heather,9,172,60,67,,29,20,4,,,,,,,,,,,,,,,,1
BHM B 4,Brimham Moor,Bracken,2,27,4,7,,,1,1,,,,,,,,,,,,,,,,1
BHM B 2,Brimham Moor,Bracken,36,207,92,60,,21,9,2,,2,,,,,,,,,,,,,,8
BHM B 6,Brimham Moor,Bracken,16,189,37,26,1,10,,,,1,,,,1,2,,1,,,,,,,
BHM B 10,Brimham Moor,Bracken,24,127,141,40,,14,6,,,,,,,,1,1,,,,,,,,
BHM H 2,Brimham Moor,Heather,5,114,33,29,,3,3,,,1,,,,,,1,1,,,,,,,
BHM H 6,Brimham Moor,Heather,4,118,44,17,1,5,4,,,5,,,,,,,,,,1,,,,1
BHM H 7,Brimham Moor,Heather,3,88,35,37,,2,6,,1,,,,,,,,,,,,,,,
BHM H 8,Brimham Moor,Heather,7,117,24,40,1,13,18,4,,,,,,,1,,,,,,,,,3
BHM H 10,Brimham Moor,Heather,15,89,34,34,,9,15,2,,4,,,,1,,,,,,5,,,,1
BRI B 1,Bridestones,Bracken,3,47,23,24,,5,1,,,,,,,,,,,,,,,,,
BRI B 2,Bridestones,Bracken,1,21,11,12,,2,9,,,,,,,,,4,,,,,,,,2
BRI B 3,Bridestones,Bracken,11,84,56,26,,,,,,1,,,,,,1,,,,,,,,1
BRI B 4,Bridestones,Bracken,,26,51,28,,8,4,,,3,,,,,,1,,,,,,,,
BRI B 5,Bridestones,Bracken,6,73,49,19,,38,3,,,1,,,,,,,,,,,,,,
BRI H 1,Bridestones,Heather,93,187,77,39,,,24,4,,9,,2,,,,,,,,,,,,
BRI H 2,Bridestones,Heather,1,56,14,8,1,2,11,,,10,,,,,1,1,,,,,,,,3
BRI H 3,Bridestones,Heather,2,89,35,8,,1,,1,,,,,,,,,,,,,,,,7
BRI H 4,Bridestones,Heather,7,34,27,16,,6,4,2,,6,,,,,,,,,,,,,,
BRI H 5,Bridestones,Heather,7,64,25,30,8,1,115,1,,2,,,,,,,,,,,,,,
SWM B 1,Scarth Wood Moor,Bracken,2,8,5,10,,4,1,,,,,,,,,,,,,,,,,
SWM B 2,Scarth Wood Moor,Bracken,18,100,13,13,,8,2,,,2,,,,,,,,,,1,,,,1
SWM B 3,Scarth Wood Moor,Bracken,3,10,7,3,,0,2,1,,,,,,,,,,,,2,,,,1
SWM B 6,Scarth Wood Moor,Bracken,2,12,3,3,,,,,,20,,,,,,,,,,,,,,
SWM B 7,Scarth Wood Moor,Bracken,19,174,132,13,,5,17,,,30,,,,,3,,,,,,,,,2
SWM H 1,Scarth Wood Moor,Heather,3,16,22,6,1,7,,1,,4,,,,,,,,,1,,,,,5
SWM H 2,Scarth Wood Moor,Heather,2,33,32,5,,4,5,,1,11,,2,,,,,,,1,,,,,
SWM H 3,Scarth Wood Moor,Heather,9,31,20,6,3,25,9,,1,22,,,,,,,,,,,,,,1
SWM H 4,Scarth Wood Moor,Heather,13,307,114,28,,1,9,,,2,,,,1,,,,,,,,,,5
SWM H 10,Scarth Wood Moor,Heather,2,43,49,6,,1,5,,,,,1,,,,,,,,,,,,
HAW H 6,Haweswater,Heather,1,9,17,11,4,113,31,1,,,,,,,,,,,,,,,,
HAW B 3,Haweswater,Bracken,1,2,9,12,1,2,1,,,,,2,,,,1,,,,1,,,,2
HAW B 4,Haweswater,Bracken,10,116,28,10,,8,1,4,,2,,,,1,,1,,,,,,,,
HAW B 5,Haweswater,Bracken,15,88,40,10,2,14,,5,4,,,,,1,,,,,,,1,,,
HAW B 8,Haweswater,Bracken,20,125,60,21,,21,10,3,1,1,,1,,,,1,,2,,,,,,1
HAW B 10,Haweswater,Bracken,10,151,64,51,,10,1,5,1,2,,1,,,,,,,,,,,,1
HAW H 7,Haweswater,Heather,4,63,42,16,,31,26,3,1,2,,,,,1,,,,,,,1,,
HAW H 8,Haweswater,Heather,7,93,47,20,,38,29,4,3,,,,,,,,,,,,,,,
HAW H 9,Haweswater,Heather,,33,17,4,1,3,11,1,,,,,,,,1,,,,,,,,
HAW H 10,Haweswater,Heather,14,38,67,15,,29,169,1,,,,1,,,,,,,,,,,,1
BRI B 6,Bridestones,Bracken,9,101,70,19,,13,3,1,,,,,,,,,,,,,,,,
BRI B 7,Bridestones,Bracken,8,225,31,10,2,16,3,1,1,,,,,,,,,,,,,,,
BRI B 8,Bridestones,Bracken,8,29,7,5,,10,,1,,,,1,,1,,,,,,1,,,,1
BRI B 9,Bridestones,Bracken,17,107,71,20,1,8,10,3,,,,,,,,,,,,,,,,
BRI B 10,Bridestones,Bracken,1,16,1,6,,,2,,,,,,,,,,,,,,,,,
BRI H 6,Bridestones,Heather,37,183,81,41,,7,40,5,,3,,,,,,,,,,1,,,2,6
BRI H 7,Bridestones,Heather,,22,23,12,,1,4,,,7,,,,,,,,,,,,,,
BRI H 8,Bridestones,Heather,9,451,205,51,,7,11,2,,15,,,,,,,,,,6,,,,1
BRI H 9,Bridestones,Heather,5,70,68,25,,3,15,4,1,1,,,,,,,,,,,,,,1
BRI H 10,Bridestones,Heather,,22,21,,,,,,,,,,,,,,,,,,,,,1
WHI B 6,Whiteside,Bracken,9,46,33,11,,9,3,3,,5,,2,,,,,,,1,,,,,
WHI B 7,Whiteside,Bracken,5,25,12,,2,6,,1,,2,,1,,,,,,,,,,,,
WHI B 8,Whiteside,Bracken,14,20,8,6,,21,3,2,,1,,3,,,,,,,,,,,,
WHI B 9,Whiteside,Bracken,30,147,25,22,4,69,11,1,,3,,,,,,,,,,,1,,,
WHI B 10,Whiteside,Bracken,13,23,6,16,2,14,23,6,,2,,,,1,,,,,1,,,,,1
WHI H 6,Whiteside,Heather,5,19,12,4,,30,16,1,,1,,2,,,1,,,,,,,,,1
WHI H 7,Whiteside,Heather,5,10,7,1,5,91,25,,1,1,,,,,,,,,,,,,,2
WHI H 8,Whiteside,Heather,10,35,9,7,1,20,20,4,,2,,1,,,,,,,,,,,,3
WHI H 9,Whiteside,Heather,4,7,2,9,,11,18,1,,1,,,,,,,,,,,,,,2
WHI H 10,Whiteside,Heather,1,4,5,2,2,1,1,,,3,1,,,,,,,,,,,,,1
BHM B 3,Brimham Moor,Bracken,3,95,15,5,,,,,,2,,,,,,,,,,,,,,
BHM B 5,Brimham Moor,Bracken,9,141,40,25,,11,2,,,4,,,,1,1,,,,,,,,,1
BHM H 3,Brimham Moor,Heather,,56,8,,,1,,,,9,,,,,,,,,,,,,,
BHM B 7,Brimham Moor,Bracken,32,258,450,23,,16,6,1,,2,,,,,1,,,,,1,,,,4
BHM B 8,Brimham Moor,Bracken,9,195,62,19,1,8,6,1,,4,,,,,1,,,,,2,,,,1
BHM B 9,Brimham Moor,Bracken,23,277,132,30,,4,8,,,7,,,,,,,,,,3,,,,5
BHM H 1,Brimham Moor,Heather,23,95,27,15,3,2,31,4,,3,,,,,,,,,,,1,,1,1
BHM H 5,Brimham Moor,Heather,6,172,55,26,,9,3,,,3,,,,1,,,1,,,,,,,
BHM H 4,Brimham Moor,Heather,13,136,63,126,1,13,16,2,,9,,,,,,,,,,,,1,,5
BHM H 9,Brimham Moor,Heather,18,160,55,62,,24,11,,,10,,,,,,2,,,,5,,,,2
SWM B 4,Scarth Wood Moor,Bracken,6,46,18,19,,5,2,,,4,,,,,,,,,,7,,,,2
SWM B 5,Scarth Wood Moor,Bracken,4,43,246,8,,6,3,,,2,,,,,2,,,,,1,,,,3
SWM B 8,Scarth Wood Moor,Bracken,11,91,12,112,,5,3,,,9,,,,,1,,,,,2,,,,
SWM B 9,Scarth Wood Moor,Bracken,11,42,341,10,,1,1,,,5,,,,,,,,,,,,,,2
SWM B 10,Scarth Wood Moor,Bracken,2,6,7,4,,1,,,,5,,,,,,,,,,,,,,1
SWM H 8,Scarth Wood Moor,Heather,14,35,11,8,,21,16,1,,33,,1,,,,,,,,,,,,2
SWM H 9,Scarth Wood Moor,Heather,14,64,26,12,,20,5,,1,2,,,,,,,,,,,,,,6
SWM H 5,Scarth Wood Moor,Heather,9,141,22,7,,17,5,,,1,,,,,,,,,1,,,,,4
SWM H 6,Scarth Wood Moor,Heather,12,113,17,6,,12,2,,,28,,,,,,,,,,,,,,13
SWM H 7,Scarth Wood Moor,Heather,36,53,67,18,,13,61,,,6,,,,,,,,,,,,,,2
WDY B 4,Widdybanks,Bracken,14,83,73,40,,89,17,8,1,3,1,,,,,,,,,,,,,1
WDY B 5,Widdybanks,Bracken,13,104,58,28,,13,18,2,,1,,,,,,,,,,,,,,1
WDY B 8,Widdybanks,Bracken,7,64,58,22,,93,30,5,2,13,,,,,,,,1,,,,,,2
WDY B 9,Widdybanks,Bracken,32,316,150,90,,60,42,17,2,2,,,,,,,,1,,,,,,2
WDY B 10,Widdybanks,Bracken,24,135,46,21,,56,30,7,,2,,,,,,,,,,,,,,3
WDY H 3,Widdybanks,Heather,13,174,53,36,,22,9,2,,,1,,,,,,,,,,,,,1
WDY H 9,Widdybanks,Heather,10,47,5,7,,5,3,2,,9,,,,15,,,,,,,,,,
WDY H 10,Widdybanks,Heather,6,41,15,9,,3,,,,1,,,,1,,,,,,,,,,1
WDY H 8,Widdybanks,Heather,9,175,53,24,,35,11,7,,25,,,,,1,,,,,,,,,2
WDY H 6,Widdybanks,Heather,22,135,99,28,,34,12,3,1,,,,,,,,,,,,,,,6
